Année;Collectivité;Type de contrat;Emplois;Niveau;Spécialité
2013;COMMUNE;TEMPS INCOMPLET;CHARGES DE MISSION AGENTS D'EXECUTION;CHARGE DE MISSION AGENT D'EXECUTION;
2013;COMMUNE;TEMPS INCOMPLET;COLLABORATEURS D' ELUS;COLLABORATEUR D ELUS;
2013;COMMUNE;TEMPS INCOMPLET;ADJOINTS ADMINISTRATIFS;ANIMATEUR CONTRACTUEL;
2013;COMMUNE;TEMPS INCOMPLET;PROFESSEURS ATELIERS DES BEAUX ARTS VDP;PROFESSEUR  ATELIERS  BEAUX ARTS VILLE DE PARIS;
2013;COMMUNE;TEMPS INCOMPLET;PROFESSEURS DES COURS MUNICIPAUX D'ADULTES;PROFESSEUR DES COURS MUNICIPAUX D'ADULTES;
2013;COMMUNE;TEMPS INCOMPLET;EDUCATEURS DES ACTIVITES PHYSIQUES ET SPORTIVES;EAPS CONTRACTUEL TEMPS NON-COMPLET;
2013;COMMUNE;TEMPS COMPLET;ADJOINTS ADMINISTRATIFS;ADJOINT ADMINISTRATIF DE 2EME CLASSE;
2013;COMMUNE;TEMPS COMPLET;ATTACHES D'ADMINISTRATIONS PARISIENNES;ATTACHE D'ADMINISTRATIONS PARISIENNES;
2013;COMMUNE;TEMPS COMPLET;ASSISTANTS SPECIALISES BIBLIOTHÈQUES MUSÉES D'ADMINISTRATIONS PARISIENNES;ASSISTANT SPECIALISE BIBLIOTHEQUES ET MUSEES DE CLASSE NORMALE D'ADMINISTRATIONS PARISIENNES;bibliothèques
2013;COMMUNE;TEMPS COMPLET;INTERVENANTS CULTURELS CONTRACTUELS;INTERVENANT CULTUREL CONTRACTUEL;
2013;COMMUNE;TEMPS COMPLET;COORDINATEURS DES CONSEILS DE QUARTIER;COORDINATEUR DES CONSEILS DE QUARTIER;
2013;COMMUNE;TEMPS COMPLET;MEDECINS CHEF & ADJOINTS AU SERVICE MEDICAL;MEDECIN CHEF ADJOINT DU SERVICE MEDICAL CONTRACTUEL;
2013;COMMUNE;TEMPS COMPLET;ADJOINTS TECHNIQUES;ADJOINT TECHNIQUE DE 1ERE CLASSE;entretien d'espaces
2013;COMMUNE;TEMPS COMPLET;ADJOINTS TECHNIQUES;ADJOINT TECHNIQUE DE 2EME CLASSE;relieur-doreur
2013;COMMUNE;TEMPS COMPLET;ADJOINTS TECHNIQUES;ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE;électrotechnicien
2013;COMMUNE;TEMPS COMPLET;ADJOINTS TECHNIQUES;ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE;
2013;COMMUNE;TEMPS COMPLET;ADJOINTS TECHNIQUES;ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE;mécanicien spécialiste en automobile
2013;COMMUNE;TEMPS COMPLET;ADJOINTS TECHNIQUES;ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE;
2013;COMMUNE;TEMPS COMPLET;AGENTS DE LOGISTIQUE GENERALE;AGENT DE LOGISTIQUE GENERALE DE 2EME CLASSE;
2013;COMMUNE;TEMPS COMPLET;AGENTS DE MENAGE CONTRACTUELS;AGENT DE MENAGE;
2013;COMMUNE;TEMPS COMPLET;AGENTS INFORMATIQUES CADRES MOYENS;AGENT CONTRACTUEL INFORMATIQUE CADRE MOYEN;
2013;COMMUNE;TEMPS COMPLET;AGENTS TECHNIQUES CONTRACTUELS CATEGORIE I;AGENT TECHNIQUE CATEGORIE 1 CONTRACTUEL;
2013;COMMUNE;TEMPS COMPLET;AGENTS TECHNIQUES DES ECOLES;AGENT TECHNIQUE DES ECOLES DE 2EME CLASSE;gardien(ne) d'école non logée
2013;COMMUNE;TEMPS COMPLET;AGENTS TECHNIQUES DES ECOLES;AGENT TECHNIQUE DES ECOLES DE 2EME CLASSE;
2013;COMMUNE;TEMPS COMPLET;DESSINATEURS;DESSINATEUR CHEF DE GROUPE 1E CLASSE;
2013;COMMUNE;TEMPS COMPLET;EBOUEURS;EBOUEUR;
2013;COMMUNE;TEMPS COMPLET;TECHNICIENS SUPERIEURS D'ADMINISTRATIONS PARISIENNES;TECHNICIEN SUPERIEUR  EN CHEF;activités multimédia
2013;COMMUNE;TEMPS COMPLET;TECHNICIENS SUPERIEURS D'ADMINISTRATIONS PARISIENNES;TECHNICIEN SUPERIEUR  EN CHEF;constructions et bâtiment
2013;COMMUNE;TEMPS COMPLET;TECHNICIENS SUPERIEURS D'ADMINISTRATIONS PARISIENNES;TECHNICIEN SUPERIEUR  EN CHEF;informatique
2013;DEPARTEMENT;TEMPS COMPLET;ADJOINTS ADMINISTRATIFS TIV;ADJOINT ADMINISTRATIF DE 2EME CLASSE TIV;
2013;DEPARTEMENT;TEMPS COMPLET;ADJOINTS CADRES HOSPITALIERS T.IV;ADJOINT CADRE HOSPITALIER DE CLASSE EXCEPTIONNELLE T.IV;
2013;DEPARTEMENT;TEMPS COMPLET;MEDECINS CONTRACTUELS;MEDECIN CONTRACTUEL;
2013;DEPARTEMENT;TEMPS COMPLET;SECRETAIRES MEDICAUX ET SOCIAUX;SECRETAIRE MEDICAL ET SOCIAL DE CLASSE NORMALE;médico-sociale
2013;DEPARTEMENT;TEMPS COMPLET;AGENTS EDUCATIFS T.IV;AGENT EDUCATIF T.IV;
2013;DEPARTEMENT;TEMPS COMPLET;;ELEVE ASSISTANT SOCIO EDUCATIF T.IV;
2013;DEPARTEMENT;TEMPS COMPLET;CONSEILLERES EN ECONOMIE SOCIALE FAMILIALES T.IV;CONSEILLERE EN ECONOMIE SOCIALE ET FAMILIALE T.IV;
2013;DEPARTEMENT;TEMPS COMPLET;PROFESSEURS DES ECOLES T.IV;PROFESSEUR DES ECOLES T.IV;
2013;DEPARTEMENT;TEMPS COMPLET;ANIMATEURS T.IV;ANIMATEUR T.IV;
2013;DEPARTEMENT;TEMPS INCOMPLET;PERSONNELS OUVRIERS T.IV;AGENT D'ENTRETIEN QUALIFIE T.IV;
2015;COMMUNE;TEMPS COMPLET;ANIMATEURS  DES CONSEILS D'ARRONDISSEMENT DE LA JEUNESSE;REFERENT JEUNESSE DES TERRITOIRES;
2015;COMMUNE;TEMPS COMPLET;SECRETAIRES ADMINISTRATIFS D'ADMINISTRATIONS PARISIENNES;SECRETAIRE ADM DE CLASSE NORMALE D'ADMINISTRATIONS PARISIENNES;administration générale
2015;COMMUNE;TEMPS COMPLET;SECRETAIRES GENERAUX ADJOINTS  DU  CONSEIL DE PARIS;SECRETAIRE GENERAL ADJOINT DU CONSEIL DE  PARIS;
2015;COMMUNE;TEMPS COMPLET;ADJOINTS D'ACCUEIL, DE SURVEILLANCE ET DE MAGASINAGE;ADJOINT D'ACCUEIL, DE SURVEILLANCE ET DE MAGASINAGE DE 1ERE CLASSE;magasinier des bibliothèques
2015;COMMUNE;TEMPS COMPLET;ADJOINTS D'ACCUEIL, DE SURVEILLANCE ET DE MAGASINAGE;;
2015;COMMUNE;TEMPS COMPLET;ASSISTANTS SPECIALISES D' ENSEIGNEMENT ARTISTIQUE DE LA  COMMUNE DE PARIS;ASSISTANT SPECIALISE D' ENSEIGNEMENT ARTISTIQUE CLASSE SUPERIEURE;art dramatique
2015;COMMUNE;TEMPS COMPLET;ASSISTANTS SPECIALISES D' ENSEIGNEMENT ARTISTIQUE DE LA  COMMUNE DE PARIS;;musique
2015;COMMUNE;TEMPS COMPLET;ADJOINTS TECHNIQUES;ADJOINT TECHNIQUE DE 2EME CLASSE;maintenance des bâtiments
2015;COMMUNE;TEMPS COMPLET;ADJOINTS TECHNIQUES;ADJOINT TECHNIQUE DE 2EME CLASSE;scaphandrier
2015;COMMUNE;TEMPS COMPLET;ADJOINTS TECHNIQUES;ADJOINT TECHNIQUE DE 2EME CLASSE;
2015;COMMUNE;TEMPS COMPLET;AGENTS TECHNIQUES CONTRACTUELS CATEGORIE III;AGENT TECHNIQUE CONTRACTUEL CATEGORIE  III;
2015;COMMUNE;TEMPS COMPLET;CONDUCTEURS D'AUTOMOBILE;CONDUCTEUR AUTOMOBILE TRANSPORT EN  COMMUN;
2015;COMMUNE;TEMPS COMPLET;FORMATEURS CONTRACTUELS DE LA VILLE DE PARIS;FORMATEUR CONTRACTUEL DE LA VILLE DE PARIS;
2015;COMMUNE;TEMPS COMPLET;PERSONNELS DE MAITRISE  D'ADMINISTRATIONS PARISIENNES;;travaux publics
2015;COMMUNE;TEMPS COMPLET;TECHNICIENS SUPERIEURS D'ADMINISTRATIONS PARISIENNES;TECHNICIEN SUPERIEUR  EN CHEF;informatique
2015;COMMUNE;TEMPS COMPLET;TECHNICIENS SUPERIEURS D'ADMINISTRATIONS PARISIENNES;TECHNICIEN SUPERIEUR PRINCIPAL;constructions et bâtiment
2015;COMMUNE;TEMPS COMPLET;TECHNICIENS SUPERIEURS D'ADMINISTRATIONS PARISIENNES;;informatique
2015;COMMUNE;TEMPS INCOMPLET;ADJOINTS ADMINISTRATIFS;ADJOINT ADMINISTRATIF CONTRACTUEL A TEMPS NON COMPLET;
2015;COMMUNE;TEMPS INCOMPLET;CHARGES DE MISSION CADRES SUPERIEURS;CHARGE DE MISSION CADRE SUPERIEUR;
2015;COMMUNE;TEMPS INCOMPLET;ASSISTANTS SPECIALISES D' ENSEIGNEMENT MUSICAL CONTRACTUELS;ASSISTANT CONTRACTUEL SPECIALISE  ENSEIGNEMENT ARTISTIQUE;
2015;COMMUNE;TEMPS INCOMPLET;MEDECINS CONTRACTUELS;MEDECIN CONTRACTUEL;
2015;COMMUNE;TEMPS INCOMPLET;AGENTS  DE LOGISTIQUE GENERALE;AGENT DE LOGISTIQUE GENERALE DE 2EME CLASSE;
2015;COMMUNE;TEMPS INCOMPLET;AGENTS DE SERVICE DES ECOLES CONTRACTUELS (TP et TNC);AGENT DE SERVICE DES ECOLES;
2015;COMMUNE;TEMPS INCOMPLET;AGENTS TECHNIQUES DES ECOLES;AGENT TECHNIQUE DES ECOLES DE 2EME CLASSE;
2015;COMMUNE;TEMPS INCOMPLET;FORMATEURS CONTRACTUEL DE LA VILLE DE PARIS;FORMATEUR CONTRACTUEL DE LA VILLE DE PARIS;
2015;COMMUNE;TEMPS INCOMPLET;NON RENSEIGNE;;accueil et surveillance
2015;DEPARTEMENT;TEMPS COMPLET;CHARGES DE MISSION CADRES SUPERIEURS;CHARGE DE MISSION CONTRACTUEL (CADRE SUPERIEUR);
2015;DEPARTEMENT;TEMPS COMPLET;MEDECINS CONTRACTUELS;MEDECIN CONTRACTUEL;chirurgien- dentiste
2015;DEPARTEMENT;TEMPS COMPLET;PERSONNELS PARAMEDICAUX MEDICO-TECHNIQUES D'ADMINISTRATIONS PARISIENNES;PERSONNELS PARAMEDICAUX DE CLASSE NORMALE D'ADMINISTRATIONS PARISIENNES;manipulateur électro-radiologie médicale
2015;DEPARTEMENT;TEMPS COMPLET;CONSEILLERES EN ECONOMIE SOCIALE ET FAMILIALE TITRE  IV;CONSEILLER EN ECONOMIE SOCIAL ET FAMILIAL  TITRE IV;
2015;DEPARTEMENT;TEMPS COMPLET;EDUCATEURS JEUNES ENFANTS TITRE IV;EDUCATEUR DE JEUNES ENFANTS DE CLASSE NORMALE TITRE IV;
2015;DEPARTEMENT;TEMPS COMPLET;AGENT DE LOGISTIQUE GENERALE;AGENT DE LOGISTIQUE GENERALE DE 2EME CLASSE;service intérieur
2015;DEPARTEMENT;TEMPS COMPLET;PERSONNELS OUVRIERS TITRE IV;;
2015;DEPARTEMENT;TEMPS COMPLET;PERSONNELS OUVRIERS TITRE IV;;
2015;DEPARTEMENT;TEMPS INCOMPLET;ADJOINTS ADMINISTRATIFS TITRE IV;ADJOINT ADMINISTRATIF DE 2EME CLASSE TITRE IV;
